block_id,route_id,trip_headsign,service_id,shape_id,trip_id,trip_id_
b_2152786,8-114,8 WATERFRONT TO PIER 21,2012_08A-1208BRsa-Saturday-01,80021,6528630-2012_08A-1208BRsa-Saturday-01,6528630
b_2062223,FerD-114,FERRY TO HALIFAX,2012_08A-12AferSA-Saturday-01,FerD0002,6219233-2012_08A-12AferSA-Saturday-01,6219233
b_2152505,18-114,18 UNIVERSITIES,2012_08A-1208BRwd-Weekday-01,180069,6523451-2012_08A-1208BRwd-Weekday-01,6523451
b_2152359,41-114,41 DALHOUSIE,2012_08A-1208BRwd-Weekday-01,410014,6521860-2012_08A-1208BRwd-Weekday-01,6521860
b_2152778,72-114,72 PORTLAND HILLS VIA WOO,2012_08A-1208BRsa-Saturday-01,720029,6528442-2012_08A-1208BRsa-Saturday-01,6528442
b_2152780,55-114,55 PORT WALLACE,2012_08A-1208BRsa-Saturday-01,550042,6526709-2012_08A-1208BRsa-Saturday-01,6526709
b_2152815,4-114,4 FARNHAM GATE VIA ROSEDA,2012_08A-1208BRsa-Saturday-01,40022,6527019-2012_08A-1208BRsa-Saturday-01,6527019
a_2150600,57-121,57 PORTLAND HILLS VIA POR,2012_05M-1205BRwd-Weekday-02,570065,6513680-2012_05M-1205BRwd-Weekday-02,6513680
a_2151046,4-121,4 FARNHAM GATE VIA ROSEDA,2012_05M-1205BRsa-Saturday-02,40022,6515741-2012_05M-1205BRsa-Saturday-02,6515741
a_2151280,90-121,90 WATER ST TERM'L VIA UN,2012_05M-1205BRsu-Sunday-02,900029,6519424-2012_05M-1205BRsu-Sunday-02,6519424
b_2152834,57-114,57 WOODSIDE VIA BAKER DR,2012_08A-1208BRsa-Saturday-01,570064,6528341-2012_08A-1208BRsa-Saturday-01,6528341
a_2151075,87-121,87 GLENDALE TO BRIDGE TER,2012_05M-1205BRsa-Saturday-02,870053,6516935-2012_05M-1205BRsa-Saturday-02,6516935
b_2152436,8-114,8 WATERFRONT TO SCOTIA SQ,2012_08A-1208BRwd-Weekday-01,80018,6525445-2012_08A-1208BRwd-Weekday-01,6525445
a_2151069,65-121,65 CALDWELL TO PORTLAND H,2012_05M-1205BRsa-Saturday-02,650008,6517125-2012_05M-1205BRsa-Saturday-02,6517125
a_2150516,80-121,80 HALIFAX,2012_05M-1205BRwd-Weekday-02,800064,6513462-2012_05M-1205BRwd-Weekday-02,6513462
b_2152408,80-114,80 SACKVILLE,2012_08A-1208BRwd-Weekday-01,800066,6524609-2012_08A-1208BRwd-Weekday-01,6524609
b_2152378,10-114,10 WESTPHAL,2012_08A-1208BRwd-Weekday-01,100236,6523989-2012_08A-1208BRwd-Weekday-01,6523989
b_2153060,87-114,87 GLENDALE TO SACKVILLE ,2012_08A-1208BRsu-Sunday-01,870059,6529899-2012_08A-1208BRsu-Sunday-01,6529899
a_2088407,FerD-97,FERRY TO HALIFAX,2012_05M-12MferHO-Sunday-00,FerD0004,6302499-2012_05M-12MferHO-Sunday-00,6302499
b_2152819,22-114,22 ARMDALE TO EXHIBITION ,2012_08A-1208BRsa-Saturday-01,220034,6528252-2012_08A-1208BRsa-Saturday-01,6528252
b_2153026,8-114,8 WATERFRONT TO PIER 21,2012_08A-1208BRsu-Sunday-01,80021,6530669-2012_08A-1208BRsu-Sunday-01,6530669
b_2153022,7-114,7 GOTTINGEN,2012_08A-1208BRsu-Sunday-01,70029,6529458-2012_08A-1208BRsu-Sunday-01,6529458
b_2152397,51-114,51 WINDMILL TO BRIDGE TER,2012_08A-1208BRwd-Weekday-01,510042,6525103-2012_08A-1208BRwd-Weekday-01,6525103
b_2152818,52-114,52 CROSSTOWN TO BURNSIDE,2012_08A-1208BRsa-Saturday-01,520276,6527341-2012_08A-1208BRsa-Saturday-01,6527341
a_2150569,80-121,80 SACKVILLE,2012_05M-1205BRwd-Weekday-02,800060,6513479-2012_05M-1205BRwd-Weekday-02,6513479
b_2152440,60-114,60 EASTERN PASSAGE,2012_08A-1208BRwd-Weekday-01,600097,6522525-2012_08A-1208BRwd-Weekday-01,6522525
a_2150466,7-121,7 ROBIE,2012_05M-1205BRwd-Weekday-02,70028,6511097-2012_05M-1205BRwd-Weekday-02,6511097
a_2151067,65-121,65 CALDWELL TO PORTLAND H,2012_05M-1205BRsa-Saturday-02,650008,6517130-2012_05M-1205BRsa-Saturday-02,6517130
b_2152287,58-114,58 BRIDGE TERMINAL,2012_08A-1208BRwd-Weekday-01,580059,6521978-2012_08A-1208BRwd-Weekday-01,6521978
a_2151230,15-121,15 MUMFORD,2012_05M-1205BRsu-Sunday-02,150029,6518075-2012_05M-1205BRsu-Sunday-02,6518075
a_2150621,52-121,52 CROSSTOWN TO LACEWOOD,2012_05M-1205BRwd-Weekday-02,520255,6513010-2012_05M-1205BRwd-Weekday-02,6513010
a_2151265,88-121,88 BEDFORD COMMONS,2012_05M-1205BRsu-Sunday-02,880005,6519305-2012_05M-1205BRsu-Sunday-02,6519305
a_2151040,51-121,51 WINDMILL TO BRIDGE TER,2012_05M-1205BRsa-Saturday-02,510061,6517447-2012_05M-1205BRsa-Saturday-02,6517447
b_2152787,4-114,4 DOWNTOWN VIA NORTH,2012_08A-1208BRsa-Saturday-01,40027,6527064-2012_08A-1208BRsa-Saturday-01,6527064
a_2151257,62-121,62 WILDWOOD,2012_05M-1205BRsu-Sunday-02,620024,6518826-2012_05M-1205BRsu-Sunday-02,6518826
a_2150701,60-121,60 BRIDGE TERMINAL,2012_05M-1205BRwd-Weekday-02,600078,6511355-2012_05M-1205BRwd-Weekday-02,6511355
a_2151257,62-121,62 WILDWOOD,2012_05M-1205BRsu-Sunday-02,620024,6518824-2012_05M-1205BRsu-Sunday-02,6518824
